aba;aplica_a;tipo;formula1;formula2;cor_fundo
PEDIDOS;K4:K1048576;valor da celula;"=""TRANÇADEIRA""";;RGB 255
PEDIDOS;C1048576;texto especifico;;;RGB 255
PEDIDOS;N1;valor da celula;"=""PAQUETA""";;RGB 255
PEDIDOS;A4;texto especifico;;;RGB 255
RELATÓRIO TRANÇADEIRAS;F6:F10;valor da celula;"=""PAQUETA OK PEÇAS""";;RGB 5287936
RELATÓRIO TRANÇADEIRAS;F6:F10;valor da celula;"=""PAQUETA PEÇAS OK""";;RGB 5287936
REALTÓRIO TEARES;E7:E11;valor da celula;"=""PAQUETA OK PEÇAS""";;RGB 255
DADOS GERAIS DE PRODUTOS;B1:B2792,B2794:B4060,B4062:B5874,B5876:B6252,B6254:B7007,B7113:B7193,B7009:B7100,B7102:B7111,B7195:B9194,B9196:B9859,B9861:B12813,B12818:B1048576;texto especifico;;;RGB 255
DADOS DOS PRODUTOS;P215:Q215,P184:Q184,P162:Q162,Q60,Q40,Q250,Q97,Q87,Q146,Q17:Q19,Q71,Q272,Q65:Q67,Q34,Q69,Q81,Q110,Q27:Q28,O229:Q230,Q275,Q91,Q105,Q210,Q214,O208:Q208,O223:Q224,O240:Q241,P123:Q123,P158:Q160,P148:Q149,Q22,O14:Q14,Q25,Q49,Q107,Q242,Q190,Q12,Q44:Q47,Q99:Q100;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O773:Q774,O776:Q780,O782:Q794;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1128:Q1133;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1009:P1012,O1013;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1052:Q1055;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O979:P982;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1145:Q1145;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1009;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O3094;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1199:Q1199;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1537:Q1537;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1537:Q1537;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1531:Q1537;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1531:O1537,Q1531:Q1537;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1531:Q1537;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1632:Q1636,P1635:Q1637;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1661:P1661;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1661:Q1661;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1661:Q1661;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1661;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1828:Q1828;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1828:Q1828;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1828:P1828;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1847:Q1847,O1839:Q1839;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1847:Q1847;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1864:Q1864;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1864:Q1864;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1864;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1864,Q1864;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1950:Q1950;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1950:Q1950;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P2276:Q2276;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O2276:Q2276;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1790:Q1790;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1790:Q1790;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1786:Q1790;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P2577;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O2812:P2812;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O2742:Q2742;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P3081;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O3218:P3218;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O3217:P3217;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O3393:Q3395;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P3393:Q3395;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O3626:Q3626;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O3643:Q3652;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P3643:Q3652;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O808:Q812;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O219:Q219;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O795:P798;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O270:Q270,O265:Q266,O244:Q245,O169:Q174,P154:Q154,O145:Q145,O130:Q131,O119:Q119,O134:Q140;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O28;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q82:Q83;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O811:P814;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O817:Q818,O814:Q815,P813:Q815;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q79;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q251:Q252;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q281;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q108;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q200;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q824;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O150:Q150,P109:Q109,O85:Q86,O80:Q80,O77:Q78,O73:Q74,O62:Q63;valor da celula;"=""ERRADO""";;RGB 255
