 ;;;;;;;;;;;FALSO;#ERRO;Máximo 131 itens TRANÇADEIRAS      Máximo 100 itens TEAR;tempo de produção horas;;
;;DAKOTA;;;;;;;;;;;;;;
CÓDIGO;QUANTIDADE;OC;Entrada;Entrega;Prazo;Descrição;Tamanho;CÓD. CLIENTE;Referencia;Máquina;Tamanho;;ITENS;METROS;;OC
1615MM;800;74489D;2025-09-18;2025-09-30;6;FITA MFP POLIESTER COR 101;15MM;133;FITA MFP 101 15MM;TEAR;0.5;;FITA MFP 101 15MM;0;1;74489D
1615MM;500;74858D;2025-09-23;2025-10-03;9;FITA MFP POLIESTER COR 101;15MM;133;FITA MFP 101 15MM;TEAR;0.5;;FITA MFGP 101 15MM;0;2;74858D
6977615MM;260;14667218;2025-08-28;2025-09-29;5;FITA MFGP POLIESTER COR 101;15MM;2;FITA MFGP 101 15MM;TEAR;0.5;;ELAST 16410 101 7MM;0;3;14667218
6977615MM;70;14714663;2025-09-09;2025-10-06;12;FITA MFGP POLIESTER COR 101;15MM;2;FITA MFGP 101 15MM;TEAR;0.5;;ATAC M22063 101 7MM;0;4;14714663
6977615MM;240;14761647;2025-09-17;2025-10-06;12;FITA MFGP POLIESTER COR 101;15MM;2;FITA MFGP 101 15MM;TEAR;0.5;;ATAC M15101 5334;0;5;14761647
702177MM;12900;73710D;2025-09-04;2025-09-16;-8;ELAST. LS 16410 POLIESTER COR 101;7MM;133;ELAST 16410 101 7MM;ELÁSTICO;0.5;;ATAC M15101 4659;0;6;73710D
702177MM;5000;74390D;2025-09-16;2025-09-26;2;ELAST. LS 16410 POLIESTER COR 101;7MM;91;ELAST 16410 101 7MM;ELÁSTICO;0.5;;ATAC M15101 102 LAVADO;0;7;74390D
702177MM;10000;74539D;2025-09-18;2025-09-30;6;ELAST. LS 16410 POLIESTER COR 101;7MM;43;ELAST 16410 101 7MM;ELÁSTICO;0.5;;ATAC M15101 100 ;0;8;74539D
702177MM;30000;74488D;2025-09-18;2025-09-30;6;ELAST. LS 16410 POLIESTER COR 101;7MM;133;ELAST 16410 101 7MM;ELÁSTICO;0.5;;ATAC M15097 101 10MM;0;9;74488D
80825100CM;960;74488D;2025-09-18;2025-09-30;6;ATAC. M22063 7MM POLIESTER COR 101;100CM;133;ATAC M22063 101 7MM;TEAR;1;;ATAC 11628 101 7MM;0;10;66811S
80825110CM;3888;74488D;2025-09-18;2025-09-30;6;ATAC. M22063 7MM POLIESTER COR 101;110CM;133;ATAC M22063 101 7MM;TEAR;1.1;;ATAC M10147 AURORA ONIX XXXX;0;11;74843D
80825110CM;28;66811S;2025-09-22;2025-09-30;6;ATAC. M22063 7MM POLIESTER COR 101;110CM;133;ATAC M22063 101 7MM;TEAR;1.1;;ATAC M10147 5984/P 6MM;0;12;14613215
80825120CM;300;74843D;2025-09-23;2025-10-03;9;ATAC. M22063 7MM POLIESTER COR 101;120CM;133;ATAC M22063 101 7MM;TEAR;1.2;;ATAC M10147 5973/P;0;13;14725280
87192120CM;480;14613215;2025-08-14;2025-09-29;5;ATAC. M15101 POLIESTER COR 5334;120CM;2;ATAC M15101 5334;TRANÇADEIRA;1.2;;ATAC M10147 5953/P;0;14;14613212
87192120CM;492;14613215;2025-08-14;2025-09-29;5;ATAC. M15101 POLIESTER COR 5334;120CM;2;ATAC M15101 5334;TRANÇADEIRA;1.2;;ATAC M10147 5590/P;0;15;14714241
87192120CM;792;14613215;2025-08-14;2025-09-29;5;ATAC. M15101 POLIESTER COR 5334;120CM;2;ATAC M15101 5334;TRANÇADEIRA;1.2;;ATAC M10110 72 5MM;0;16;14715857
91154120CM;552;14725280;2025-09-10;2025-10-20;26;ATAC. M15101 POLIESTER COR 4659;120CM;2;ATAC M15101 4659;TRANÇADEIRA;1.2;;ATAC 4000MG  101;0;17;14613234
91154120CM;564;14725280;2025-09-10;2025-10-20;26;ATAC. M15101 POLIESTER COR 4659;120CM;2;ATAC M15101 4659;TRANÇADEIRA;1.2;;ATAC 4000MG 101 8MM;0;18;62023S
75800120CM;564;14613212;2025-08-14;2025-09-22;-2;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;19;64129S
75800120CM;332;14613212;2025-08-14;2025-09-22;-2;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;20;14667624
75800120CM;552;14613212;2025-08-14;2025-09-22;-2;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;21;14749534
75800120CM;620;14613212;2025-08-14;2025-09-22;-2;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;22;14682989
75800120CM;492;14613212;2025-08-14;2025-09-22;-2;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;23;14683010
75800120CM;528;14613212;2025-08-14;2025-09-22;-2;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;24;14739877
75800130CM;104;14613212;2025-08-14;2025-09-22;-2;ATAC. M15101 POLIESTER COR 102;130CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.3;;;0;25;68146S
75800130CM;216;14613212;2025-08-14;2025-09-22;-2;ATAC. M15101 POLIESTER COR 102;130CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.3;;;0;26;1792025
75800120CM;468;14613215;2025-08-14;2025-09-29;5;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;27;17092025
75800120CM;468;14613215;2025-08-14;2025-09-29;5;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;28;0
75800120CM;588;14613215;2025-08-14;2025-09-29;5;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;29;
75800120CM;552;14613215;2025-08-14;2025-09-29;5;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;30;
75800120CM;504;14714241;2025-09-06;2025-10-13;19;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;31;
75800120CM;552;14714241;2025-09-06;2025-10-13;19;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;32;
75800120CM;444;14714241;2025-09-06;2025-10-13;19;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;33;
75800120CM;492;14714241;2025-09-06;2025-10-13;19;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;34;
75800120CM;444;14714241;2025-09-06;2025-10-13;19;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;35;
75800120CM;492;14714241;2025-09-06;2025-10-13;19;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;36;
75800120CM;350;14715857;2025-09-08;2025-10-20;26;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;37;
75800120CM;384;14715857;2025-09-08;2025-10-20;26;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;38;
75800120CM;612;14715857;2025-09-08;2025-10-20;26;ATAC. M15101 POLIESTER COR 102;120CM;2;ATAC M15101 102 LAVADO;TRANÇADEIRA;1.2;;;0;39;
75877120CM;276;14613234;2025-08-14;2025-10-06;12;ATAC. M15101 POLIESTER COR 100;120CM;2;ATAC M15101 100 ;TRANÇADEIRA;1.2;;;0;40;
75877120CM;300;14613234;2025-08-14;2025-10-06;12;ATAC. M15101 POLIESTER COR 100;120CM;2;ATAC M15101 100 ;TRANÇADEIRA;1.2;;;0;41;
75877120CM;240;14613234;2025-08-14;2025-10-06;12;ATAC. M15101 POLIESTER COR 100;120CM;2;ATAC M15101 100 ;TRANÇADEIRA;1.2;;;0;42;
75877120CM;252;14613234;2025-08-14;2025-10-06;12;ATAC. M15101 POLIESTER COR 100;120CM;2;ATAC M15101 100 ;TRANÇADEIRA;1.2;;;0;43;
75877130CM;156;14613234;2025-08-14;2025-10-06;12;ATAC. M15101 POLIESTER COR 100;130CM;2;ATAC M15101 100 ;TRANÇADEIRA;1.3;;;0;44;
75877130CM;192;14613234;2025-08-14;2025-10-06;12;ATAC. M15101 POLIESTER COR 100;130CM;2;ATAC M15101 100 ;TRANÇADEIRA;1.3;;;0;45;
