;;;;;;;;
;;URDIDEIRA1;URDIDEIRA3;;Ordens de compra;DAKOTA;;
;;0.85;1;0;74489D;;;
;;0.85;1;;74858D;;;
;;;;;14667218;ENTREGA DO PEDIDO;;2025-09-30
;;;;;14714663;;;
;;;;PEDIDO EM PARES;14761647;;;
;;;;;73710D;;;
;;;;;74390D;;;
;;;;;74539D;;;
;;;;;74488D;;;
;;;;;66811S;;;
;;;; ;74843D;;;
;;;;;14613215;;;
;;;;;14725280;;;
;;;;;14613212;;;
;;;;;14714241;;;
;;;;;14715857;;;
;;;;;14613234;;;
;;;;;62023S;;;
;;;;;64129S;;;
;;;;;;;;
;;Metros;;Item;;;URDIDEIRA 4;
1;FITA MFP 101 15MM;2550;;FITA MFP 101 15MM;120;3;1500;VTS
;3000;;;;101;;;
;2550;;;;0;3;1500;VTS
;;;;;0;;;
;;;;;0;3;1500;VTS
;;;;;0;;;
;;;;;0;3;1500;VTS
;;;;;0;;;
;;;;;0;3;1500;VTS
;;;;;0;;;
1;FITA MFP 101 15MM;;;FITA MFP 101 15MM;120;1;1500;VTS
;;;;;101;;;
;;;;;0;1;1500;VTS
;;;;;0;;;
;;;;;0;1;1500;VTS
;;;;;0;;;
;;;;;0;1;1500;VTS
;;;;;0;;;
;;;;;0;1;1500;VTS
;;;;;0;;;
2;FITA MFGP 101 15MM;1275;;FITA MFGP 101 15MM;96;1;1500;VTS
;1500;;;;101;;;
;1275;;;;0;1;1500;VTS
;;;;;0;;;
;;;;;0;1;1500;VTS
;;;;;0;;;
;;;;;0;1;1500;VTS
;;;;;0;;;
;;;;;0;1;1500;VTS
;;;;;0;;;
2;FITA MFGP 101 15MM;;;FITA MFGP 101 15MM;96;1;1500;VTS
;;;;;101;;;
;;;;;0;1;1500;VTS
;;;;;0;;;
;;;;;0;1;1500;VTS
;;;;;0;;;
;;;;;0;1;1500;VTS
