;CÓDIGO;;TAMANHO 1;MÁQUINA;0.85;;;;;;
1;;ATAC M21020 821/1P DARK KHAKI 8MM;1.2;TEAR;1.2;;;;;;
2;13809;ATAC M21020 821/1P DARK KHAKI 8MM;1.1;TEAR;1.1;;;;;;
3;teste 11;ATAC M21020 746/1P NAVY 8MM;1;TEAR;1;;;;;;
4;dilly 10;ATAC M21020 746/1P NAVY 8MM;1.1;TEAR;1.1;;;;;;
5;;ATAC M21020 746/1P NAVY 8MM;1.2;TEAR;1.2;;;;;;
6;;ATAC M21020 745/1P LIGHT KHAKI 8MM;1.1;TEAR;1.1;;;;;;
7;73821105CM;ATAC M21020 100/1P 8MM;1.05;TEAR;1.05;;;;;;
8;73821110CM;ATAC M21020 100/1P 8MM;1.1;TEAR;1.1;;;;;;
9;7382195CM;ATAC M21020 100/1P 8MM;0.95;TEAR;0.95;;;;;;
10;;ATAC M21020 RIO RED 8MM;1.1;TEAR;1.1;;;;;;
11;;ATAC M21020 RIO RED 8MM;1;TEAR;1;;;;;;
12;;ATAC M10046 100 6MM;1.1;TEAR;1.1;;;;;;
13;;ATAC M10046 100 6MM;1.2;TEAR;1.2;;;;;;
14;;ATAC M10046 100 6MM;1.3;TEAR;1.3;;;;;;
15;;ATAC M10046 612 6MM;1.2;TEAR;1.2;;;;;;
16;;ATAC M10046 612 6MM;1.3;TEAR;1.3;;;;;;
17;14804;ATAC M21020 745/1P LIGHT KHAKI 8MM;1.05;TEAR;1.05;;;;;;
18;teste 12;ATAC M21020 746/1P NAVY 8MM;1.05;TEAR;1.05;;;;;;
19;;ATAC M21020 746/1P NAVY 8MM;1.15;TEAR;1.15;;;;;;
20;;ATAC M21020 745/1P LIGHT KHAKI 8MM;1.15;TEAR;1.15;;;;;;
21;14131;ATAC M21020 100/1P 8MM;1.05;TEAR;1.05;;;;;;
22;;ATAC M21020 100/1P 8MM;1.15;TEAR;1.15;;;;;;
23;;ATAC M21020 RIO RED 8MM;1.05;TEAR;1.05;;;;;;
24;;ATAC M21020 RIO RED 8MM;1.15;TEAR;1.15;;;;;;
25;;ATAC M21020 753/1P 8MM;1;TEAR;1;;;;;;
26;;ATAC M21020 753/1P 8MM;1.05;TEAR;1.05;;;;;;
27;;ATAC M21020 805/1P 8MM;1.05;TEAR;1.05;;;;;;
28;;ATAC M21020 805/1P 8MM;1.1;TEAR;1.1;;;;;;
29;;ATAC M21020 805/1P 8MM;1.15;TEAR;1.15;;;;;;
30;;ATAC 6ALF 100/460 6MM;1.1;TEAR;1.1;;;;;;
31;;ATAC 6ALF 100/460 6MM;1.2;TEAR;1.2;;;;;;
32;;ATAC M1308 100 8MM;0.85;TEAR;0.85;;;;;;
33;;ATAC M10046 451 6MM;1.2;TEAR;1.2;;;;;;
34;813443130;ATAC M21020 100/1P 8MM;1.3;TEAR;1.3;;;;;;
35;;ATAC M21020 100/1P 8MM;1.35;TEAR;1.35;;;;;;
36;;ATAC M1308 100 8MM;0.9;TEAR;0.9;;;;;;
37;;ATAC M21020 100/1P 8MM;1.45;TEAR;1.45;;;;;;
38;;ATAC M10046 135 6MM;1.2;TEAR;1.2;;;;;;
39;;ATAC M10046 278 6MM;1.2;TEAR;1.2;;;;;;
40;;ATAC M10046 135 6MM;1.3;TEAR;1.3;;;;;;
41;;ATAC M10046 278 6MM;1.3;TEAR;1.3;;;;;;
42;;ATAC M10046 612 6MM;1.4;TEAR;1.4;;;;;;
43;;ATAC M10046 135 6MM;1.4;TEAR;1.4;;;;;;
44;;ATAC M10046 278 6MM;1.4;TEAR;1.4;;;;;;
45;;ATAC M10046 100 6MM;1.4;TEAR;1.4;;;;;;
46;12982;ATAC M8081 2154 DARK SIENA 7MM;1.1;TEAR;1.1;;;;;;
47;;ATAC M21020 758/1P 8MM;1.05;TEAR;1.05;;;;;;
48;;ATAC M21020 567/1P 8MM;1.05;TEAR;1.05;;;;;;
49;14134;ATAC M21020 494/1P 8MM;1.05;TEAR;1.05;;;;;;
50;dilly 32;ATAC M21020 758/1P 8MM;1.1;TEAR;1.1;;;;;;
51;dilly 3;ATAC M21020 567/1P 8MM;1.1;TEAR;1.1;;;;;;
52;14808;ATAC M21020 494/1P 8MM;1.1;TEAR;1.1;;;;;;
53;699987MM;ELASTICO 16410 140 7MM;0.5;ELÁSTICO;1.175;;;;;;
54;;ATAC M10030 100/222 6MM;1.2;TEAR;1.2;;;;;;
55;14058;ATAC M21020 758/1P 8MM;1.15;TEAR;1.15;;;;;;
56;dilly 36;ATAC M21020 567/1P 8MM;1.15;TEAR;1.15;;;;;;
57;;ATAC M21020 044/1P 8MM;1;TEAR;1;;;;;;
58;;ATAC M21020 044/1P 8MM;1.05;TEAR;1.05;;;;;;
59;14074;ATAC M21020 821/1P DARK KHAKI 8MM;1.25;TEAR;1.25;;;;;;
