REFERENCIAS;cor;Peso;cor2;peso3;cor4;peso5;cor6;peso7;cor8;Coluna1
ATAC M21020 821/1P DARK KHAKI 8MM;821/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 746/1P NAVY 8MM;746/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 745/1P LIGHT KHAKI 8MM;745/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 100/1P 8MM;100/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 RIO RED 8MM;RIO RED/1 RECICLADO;0.0031;;;;;;;;
ATAC M10046 100 6MM;100;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 612 6MM;612;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M21020 753/1P 8MM;753/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 805/1P 8MM;805/1 RECICLADO;0.0031;;;;;;;;
ATAC 6ALF 100/460 6MM;100;0.0009;460;0.0022;ENCHIMENTO;0.00087;;;;
ATAC M1308 100 8MM;100;0.0032;;;;;;;;
ATAC M10046 451 6MM;451;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 135 6MM;135;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 278 6MM;278;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M8081 2154 DARK SIENA 7MM;2154;0.0037;;;;;;;;
ATAC M21020 758/1P 8MM;758/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 567/1P 8MM;567/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 494/1P 8MM;494/1 RECICLADO;0.0031;;;;;;;;
ELASTICO 16410 140 7MM;140;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
ATAC M10030 100/222 6MM;100;3.01457142857143E-03;222;5.02428571428571E-04;ENCHIMENTO;0.0021;;;;
ATAC M21020 044/1P 8MM;044/1 RECICLADO;0.0031;;;;;;;;
FITA M32107 048 12MM;48;0.0055;;;;;;;;
FITA M32107 643 12MM;643;0.0055;;;;;;;;
ATAC M21020 004/1P 8MM;004/1 RECICLADO;0.0031;;;;;;;;
ATAC 11628 116 7MM;116;0.0022;;;;;;;;
ATAC 6ALF 100/038 6MM;100;0.0009;38;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 3000 158 3MM;158;0.00089;ENCHIMENTO;0.00087;;;;;;
