;;;;CLIENTE;1899-12-30;;;;;;;;;;FALSO;;;;;;
Código;pares;OC;Recebimento;Entrega;Referencia;Tamanho;metros;Agrupado;Total;;cor;cor;cor;cor;;peso;peso;peso;peso;;
 ; ; ; ; ; ;#ERRO;#ERRO; ;#ERRO; ;#ERRO;#ERRO;#ERRO;#ERRO;;#ERRO;#ERRO;#ERRO;#ERRO;1; 
 ; ; ; ; ; ;#ERRO;#ERRO;ATAC M15101 5334;4233.6; ;5334;0;0;0;;12.27744;0;0;0;2;ATAC
 ; ; ; ; ; ;#ERRO;#ERRO;ATAC M15101 4659;2678.4; ;4659;0;0;0;;8.57088;0;0;0;3;ATAC
 ; ; ; ; ; ;#ERRO;#ERRO;ATAC M15101 102 LAVADO;23483.2; ;102 LAVADO;0;0;0;;75.14624;0;0;0;4;ATAC
 ; ; ; ; ; ;#ERRO;#ERRO;ATAC M15101 100 ;4435.2; ;100;0;0;0;;14.19264;0;0;0;5;ATAC
 ; ; ; ; ; ;#ERRO;#ERRO;ATAC M15097 101 10MM;1756.8; ;101 LAVADO;0;0;0;;8.60832;0;0;0;6;ATAC
 ; ; ; ; ; ;#ERRO;#ERRO;ATAC 4000MG  101;345600; ;101 AVANTI;0;0;0;;1071.36;0;0;0;7;ATAC
 ; ; ; ; ; ;#ERRO;#ERRO;ATAC 4000MG 101 8MM;40000; ;101 AVANTI;0;0;0;;124;0;0;0;8;ATAC
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;9;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;10;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;11;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;12;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;13;
87192120CM;480;14613215;2025-08-14;2025-09-29;ATAC M15101 5334;1.2;1152;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;14;
87192120CM;492;14613215;2025-08-14;2025-09-29;ATAC M15101 5334;1.2;1180.8;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;15;
87192120CM;792;14613215;2025-08-14;2025-09-29;ATAC M15101 5334;1.2;1900.8;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;16;
