;;;;Cliente;;;;;;;;FALSO;;;;;;;;;;;;;;ESTOQUES DE VOLTAS ARREDONDADAS;;;;;;;;
Código;pares;OC;Recebimento;Entrega;Referencia;Tamanho;metros;Agrupado;Total;;;cor;cor;cor;cor;;peso;peso;peso;peso;;;;METROS;;URDIDEIRA 4;URDIDEIRA 1 - 2 - 3;URDIDEIRA 4;URDIDEIRA 1 - 2 - 3;NOVA METRAGEM;;;;
 ; ; ; ; ; ;#ERRO;#ERRO; ;#ERRO;0;;#ERRO;#ERRO;#ERRO;#ERRO;;#ERRO;#ERRO;#ERRO;#ERRO;1;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;2;;;0;#ERRO;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;3;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;4;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;5;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;6;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;7;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;8;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;9;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;10;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;11;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;12;;;0;;0;0;300;300;255;300;1;255;1
